SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING
BIMETAL,Bimetal Bearings Limited,EQ,20-APR-2026
BIOCON,Biocon Limited,EQ,07-APR-2004
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,12-JUN-1996
BIRLACORPN,Birla Corporation Limited,EQ,12-APR-1995
BIRLAMONEY,Aditya Birla Money Limited,EQ,07-FEB-2008
BIRLANU,BirlaNu Limited,EQ,26-APR-1995
BIRLAPREC,Birla Precision Technologies Limited,EQ,20-APR-2026
BLACKBUCK,BLACKBUCK LIMITED,EQ,22-NOV-2024
BLAL,BEML Land Assets Limited,EQ,19-APR-2023
BLBLIMITED,BLB Limited,EQ,31-MAY-2000
BLIL,Balmer Lawrie Investments Limited,EQ,20-APR-2026
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,17-MAR-2006
BLS,BLS International Services Limited,EQ,14-JUN-2016
BLSE,BLS E-Services Limited,EQ,06-FEB-2024
BLUEDART,Blue Dart Express Limited,EQ,12-DEC-2002
BLUEJET,Blue Jet Healthcare Limited,EQ,01-NOV-2023
BLUESTARCO,Blue Star Limited,EQ,15-JUN-2000
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,EQ,19-AUG-2025
BLUSPRING,Bluspring Enterprises Limited,EQ,11-JUN-2025
BMWVENTLTD,BMW Ventures Limited,EQ,01-OCT-2025
BOHRAIND,Bohra Industries Limited,EQ,27-OCT-2022
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,26-APR-1995
BONLON,Bonlon Industries Limited,EQ,20-FEB-2026
BORANA,Borana Weaves Limited,EQ,27-MAY-2025
BOROLTD,Borosil Limited,EQ,22-JUL-2020
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,25-MAY-2018
BOROSCI,Borosil Scientific Limited,EQ,07-JUN-2024
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,EQ,03-JAN-2000
BOSCHLTD,Bosch Limited,EQ,12-MAY-2003
BPCL,Bharat Petroleum Corporation Limited,EQ,13-SEP-1995
BPL,BPL Limited,EQ,14-JUN-1995
BRIGADE,Brigade Enterprises Limited,EQ,31-DEC-2007
BRIGHOTEL,Brigade Hotel Ventures Limited,EQ,31-JUL-2025
BRITANNIA,Britannia Industries Limited,EQ,05-NOV-1998
BRNL,Bharat Road Network Limited,EQ,18-SEP-2017
BSE,BSE Limited,EQ,03-FEB-2017
